key,long,lat,
1,-111.83956,40.76038667,"""1"":[-111.83956,40.76038667],"
2,-111.83004,40.75503333,"""2"":[-111.83004,40.75503333],"
3,-111.82864,40.76082667,"""3"":[-111.82864,40.76082667],"
4,-111.82668,40.75723333,"""4"":[-111.82668,40.75723333],"
5,-111.8187,40.7598,"""5"":[-111.8187,40.7598],"
6,-111.82234,40.76427333,"""6"":[-111.82234,40.76427333],"
7,-111.8306,40.76808667,"""7"":[-111.8306,40.76808667],"
8,-111.8278,40.76911333,"""8"":[-111.8278,40.76911333],"
9,-111.8376,40.76933333,"""9"":[-111.8376,40.76933333],"
10,-111.8432,40.75466667,"""10"":[-111.8432,40.75466667],"
11,-111.846,40.762,"""11"":[-111.846,40.762],"
12,-111.8404,40.76566667,"""12"":[-111.8404,40.76566667],"
,,,"{""1"":[-111.83956,40.76038667],""2"":[-111.83004,40.75503333],""3"":[-111.82864,40.76082667],""4"":[-111.82668,40.75723333],""5"":[-111.8187,40.7598],""6"":[-111.82234,40.76427333],""7"":[-111.8306,40.76808667],""8"":[-111.8278,40.76911333],""9"":[-111.8376,40.76933333],""10"":[-111.8432,40.75466667],""11"":[-111.846,40.762],""12"":[-111.8404,40.76566667],}"
,,,
,,,"{""1"":[-111.83956,40.76038667],""2"":[-111.83004,40.75503333],""3"":[-111.82864,40.76082667],""4"":[-111.82668,40.75723333],""5"":[-111.8187,40.7598],""6"":[-111.82234,40.76427333],""7"":[-111.8306,40.76808667],""8"":[-111.8278,40.76911333],""9"":[-111.8376,40.76933333],""10"":[-111.8432,40.75466667],""11"":[-111.846,40.762],""12"":[-111.8404,40.76566667]}"
